date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2022-09-20,33262,6911,95297,1222,0,22856,367
2022-09-21,32887,7366,94324,1089,0,22296,264
2022-09-22,31969,7350,91473,1002,0,18995,247
2022-09-23,31302,7093,92243,883,0,18407,223
2022-09-24,31011,7521,87701,904,0,16957,267
2022-09-25,33355,7733,92054,1038,0,18711,57
2022-09-26,33946,6286,94203,1182,0,20470,594
2022-09-27,32481,5966,91124,931,0,18988,260
2022-09-28,31195,6184,89348,861,0,17788,370
2022-09-29,30430,6278,85812,812,0,16773,181
2022-09-30,29059,5393,88182,725,0,18211,338
2022-10-01,29078,6784,77818,1014,0,14506,118
2022-10-02,30535,6694,81247,1225,0,16738,23
2022-10-03,31168,5643,83223,1258,0,18720,85
2022-10-04,30052,4519,83843,1138,0,19927,677
2022-10-05,29176,5199,87393,957,0,21838,197
2022-10-06,29143,6361,87532,889,0,19638,242
2022-10-07,28242,6194,91082,815,0,21469,265
2022-10-08,29542,7787,87086,934,0,18855,196
2022-10-09,32202,7956,91792,1154,0,20886,66
2022-10-10,33038,7089,94394,1301,0,22670,174
2022-10-11,32436,5458,95973,1079,0,23773,347
2022-10-12,30992,6355,84723,974,0,20111,261
2022-10-13,29806,6103,83437,832,0,17688,290
2022-10-14,29026,6297,83325,856,0,17827,114
2022-10-15,28195,7101,79873,934,0,16221,178
2022-10-16,30250,7220,84263,1218,0,18390,60
2022-10-17,30757,6045,86416,1284,0,20318,154
2022-10-18,29283,6788,89899,1053,0,21922,128
2022-10-19,28020,6558,85134,863,0,19589,133
2022-10-20,26984,6247,82829,793,0,16616,113
2022-10-21,25688,6035,80863,732,0,15941,394
2022-10-22,25785,6878,77992,832,0,13686,133
2022-10-23,27941,6862,82115,1010,0,15726,57
2022-10-24,28768,6098,84539,1171,0,17593,369
2022-10-25,28176,7273,88958,905,0,19389,157
2022-10-26,27813,7686,84734,898,0,16986,193
2022-10-27,27626,7939,86175,907,0,16182,171
2022-10-28,24411,4978,86494,614,0,17092,245
2022-10-29,26392,7787,92990,977,0,19875,264
2022-10-30,29492,7612,98144,1184,0,22279,78
2022-10-31,31240,7173,101859,1377,0,24426,185
2022-11-01,28166,7695,99857,1158,0,24170,225
2022-11-02,27399,7887,94364,1073,0,20529,196
2022-11-03,26761,7647,94807,963,0,19594,248
2022-11-04,26893,7440,95826,906,0,19267,215
2022-11-05,27405,7709,91740,1036,0,17438,140
2022-11-06,29083,7036,95393,1228,0,19501,51
2022-11-07,29230,5342,96626,1278,0,21355,666
2022-11-08,28592,5766,98272,933,0,21501,130
2022-11-09,28303,6375,92585,896,0,18838,118
2022-11-10,27498,6590,96534,864,0,20667,338
2022-11-11,26962,6090,88972,719,0,17029,154
2022-11-12,27554,7268,80101,964,0,14551,155
2022-11-13,29326,7448,84222,1186,0,16762,26
2022-11-14,30115,6428,86453,1303,0,18844,756
2022-11-15,28875,5963,90458,1040,0,20750,125
2022-11-16,28171,6374,79361,857,0,15234,158
2022-11-17,27506,6549,83197,804,0,17086,181
2022-11-18,25620,5460,79090,731,0,13550,114
2022-11-19,26311,6890,83861,921,0,15854,127
2022-11-20,28333,7117,87704,1080,0,17861,28
2022-11-21,29002,5914,89617,1219,0,19737,483
2022-11-22,28681,6376,89354,1015,0,19211,149
2022-11-23,28005,6609,87524,922,0,17699,196
2022-11-24,27908,7162,88813,853,0,16818,304
2022-11-25,27985,7148,93120,762,0,18429,295
2022-11-26,29903,8033,88476,927,0,15556,180
2022-11-27,32428,8009,92919,1191,0,17622,63
2022-11-28,33781,7064,95721,1303,0,19596,689
2022-11-29,33616,7007,96380,1053,0,19346,118
2022-11-30,32443,6589,100570,888,0,20897,232
2022-12-01,32958,7171,96605,913,0,18724,281
2022-12-02,32565,6648,97855,789,0,18303,157
2022-12-03,32632,7403,95786,933,0,17416,145
2022-12-04,34223,7309,99105,1074,0,19283,34
2022-12-05,35016,6130,101128,1211,0,21161,338
2022-12-06,33283,5732,104164,1010,0,22791,121
2022-12-07,31008,5301,100549,789,0,21141,104
2022-12-08,29610,5333,98966,733,0,19049,574
2022-12-09,28527,5659,98712,757,0,17617,226
2022-12-10,28975,7045,92358,932,0,15399,122
2022-12-11,30593,6896,95971,1089,0,17334,81
2022-12-12,31468,5816,98001,1187,0,19150,700
2022-12-13,30662,6013,97072,959,0,18438,122
2022-12-14,29578,6577,93038,931,0,16495,124
2022-12-15,28263,6298,89250,834,0,15255,175
2022-12-16,27459,6138,86925,713,0,13282,118
2022-12-17,27998,7435,92047,956,0,15200,143
