year,month,component,component_code,inventory,date
2017,3,신선동결혈장,FFP,100388,2017-03-01
2017,4,신선동결혈장,FFP,95629,2017-04-01
2017,5,신선동결혈장,FFP,105308,2017-05-01
2017,6,신선동결혈장,FFP,88283,2017-06-01
2017,7,신선동결혈장,FFP,86929,2017-07-01
2017,8,신선동결혈장,FFP,87902,2017-08-01
2017,9,신선동결혈장,FFP,83319,2017-09-01
2017,10,신선동결혈장,FFP,83742,2017-10-01
2017,11,신선동결혈장,FFP,78120,2017-11-01
2017,12,신선동결혈장,FFP,81521,2017-12-01
2017,1,백혈구여과제거성분채혈혈소판,SDP,959,2017-01-01
2017,2,백혈구여과제거성분채혈혈소판,SDP,1044,2017-02-01
2017,3,백혈구여과제거성분채혈혈소판,SDP,937,2017-03-01
2017,4,백혈구여과제거성분채혈혈소판,SDP,884,2017-04-01
2017,5,백혈구여과제거성분채혈혈소판,SDP,962,2017-05-01
2017,6,백혈구여과제거성분채혈혈소판,SDP,781,2017-06-01
2017,7,백혈구여과제거성분채혈혈소판,SDP,850,2017-07-01
2017,8,백혈구여과제거성분채혈혈소판,SDP,823,2017-08-01
2017,9,백혈구여과제거성분채혈혈소판,SDP,816,2017-09-01
2017,10,백혈구여과제거성분채혈혈소판,SDP,867,2017-10-01
2017,11,백혈구여과제거성분채혈혈소판,SDP,790,2017-11-01
2017,12,백혈구여과제거성분채혈혈소판,SDP,779,2017-12-01
2018,1,농축적혈구,RBC,20089,2018-01-01
2018,2,농축적혈구,RBC,18585,2018-02-01
2018,3,농축적혈구,RBC,20628,2018-03-01
2018,4,농축적혈구,RBC,18475,2018-04-01
2018,5,농축적혈구,RBC,25255,2018-05-01
2018,6,농축적혈구,RBC,28399,2018-06-01
2018,7,농축적혈구,RBC,18529,2018-07-01
2018,8,농축적혈구,RBC,17102,2018-08-01
2018,9,농축적혈구,RBC,18072,2018-09-01
2018,10,농축적혈구,RBC,13366,2018-10-01
2018,11,농축적혈구,RBC,21443,2018-11-01
2018,12,농축적혈구,RBC,23753,2018-12-01
2018,1,농축혈소판,PLT,7619,2018-01-01
2018,2,농축혈소판,PLT,8377,2018-02-01
2018,3,농축혈소판,PLT,8800,2018-03-01
2018,4,농축혈소판,PLT,7688,2018-04-01
2018,5,농축혈소판,PLT,8628,2018-05-01
2018,6,농축혈소판,PLT,7228,2018-06-01
2018,7,농축혈소판,PLT,7402,2018-07-01
2018,8,농축혈소판,PLT,6604,2018-08-01
2018,9,농축혈소판,PLT,7007,2018-09-01
2018,10,농축혈소판,PLT,7424,2018-10-01
2018,11,농축혈소판,PLT,8423,2018-11-01
2018,12,농축혈소판,PLT,7222,2018-12-01
2018,1,신선동결혈장,FFP,86298,2018-01-01
2018,2,신선동결혈장,FFP,94374,2018-02-01
2018,3,신선동결혈장,FFP,98074,2018-03-01
2018,4,신선동결혈장,FFP,97294,2018-04-01
2018,5,신선동결혈장,FFP,100606,2018-05-01
2018,6,신선동결혈장,FFP,92998,2018-06-01
2018,7,신선동결혈장,FFP,90443,2018-07-01
2018,8,신선동결혈장,FFP,90800,2018-08-01
2018,9,신선동결혈장,FFP,93838,2018-09-01
2018,10,신선동결혈장,FFP,93536,2018-10-01
2018,11,신선동결혈장,FFP,99615,2018-11-01
2018,12,신선동결혈장,FFP,95030,2018-12-01
2018,1,백혈구여과제거성분채혈혈소판,SDP,785,2018-01-01
2018,2,백혈구여과제거성분채혈혈소판,SDP,936,2018-02-01
2018,3,백혈구여과제거성분채혈혈소판,SDP,951,2018-03-01
2018,4,백혈구여과제거성분채혈혈소판,SDP,817,2018-04-01
2018,5,백혈구여과제거성분채혈혈소판,SDP,866,2018-05-01
2018,6,백혈구여과제거성분채혈혈소판,SDP,815,2018-06-01
2018,7,백혈구여과제거성분채혈혈소판,SDP,838,2018-07-01
2018,8,백혈구여과제거성분채혈혈소판,SDP,778,2018-08-01
2018,9,백혈구여과제거성분채혈혈소판,SDP,849,2018-09-01
2018,10,백혈구여과제거성분채혈혈소판,SDP,800,2018-10-01
2018,11,백혈구여과제거성분채혈혈소판,SDP,828,2018-11-01
2018,12,백혈구여과제거성분채혈혈소판,SDP,803,2018-12-01
2019,1,농축적혈구,RBC,17576,2019-01-01
2019,2,농축적혈구,RBC,19665,2019-02-01
2019,3,농축적혈구,RBC,15687,2019-03-01
2019,4,농축적혈구,RBC,14425,2019-04-01
2019,5,농축적혈구,RBC,18777,2019-05-01
2019,6,농축적혈구,RBC,25483,2019-06-01
2019,7,농축적혈구,RBC,19905,2019-07-01
2019,8,농축적혈구,RBC,17882,2019-08-01
2019,9,농축적혈구,RBC,14835,2019-09-01
2019,10,농축적혈구,RBC,14707,2019-10-01
2019,11,농축적혈구,RBC,18255,2019-11-01
2019,12,농축적혈구,RBC,21162,2019-12-01
2019,1,농축혈소판,PLT,7572,2019-01-01
2019,2,농축혈소판,PLT,7654,2019-02-01
2019,3,농축혈소판,PLT,6715,2019-03-01
2019,4,농축혈소판,PLT,6800,2019-04-01
2019,5,농축혈소판,PLT,7543,2019-05-01
2019,6,농축혈소판,PLT,6709,2019-06-01
2019,7,농축혈소판,PLT,6894,2019-07-01
2019,8,농축혈소판,PLT,6340,2019-08-01
2019,9,농축혈소판,PLT,6234,2019-09-01
2019,10,농축혈소판,PLT,6988,2019-10-01
2019,11,농축혈소판,PLT,7481,2019-11-01
2019,12,농축혈소판,PLT,6975,2019-12-01
2019,1,신선동결혈장,FFP,87825,2019-01-01
2019,2,신선동결혈장,FFP,97460,2019-02-01
2019,3,신선동결혈장,FFP,93761,2019-03-01
2019,4,신선동결혈장,FFP,89325,2019-04-01
2019,5,신선동결혈장,FFP,95428,2019-05-01
2019,6,신선동결혈장,FFP,88694,2019-06-01
2019,7,신선동결혈장,FFP,86214,2019-07-01
2019,8,신선동결혈장,FFP,82254,2019-08-01
2019,9,신선동결혈장,FFP,83571,2019-09-01
2019,10,신선동결혈장,FFP,86898,2019-10-01
2019,11,신선동결혈장,FFP,89818,2019-11-01
2019,12,신선동결혈장,FFP,92448,2019-12-01
2019,1,백혈구여과제거성분채혈혈소판,SDP,934,2019-01-01
2019,2,백혈구여과제거성분채혈혈소판,SDP,1000,2019-02-01
2019,3,백혈구여과제거성분채혈혈소판,SDP,781,2019-03-01
2019,4,백혈구여과제거성분채혈혈소판,SDP,748,2019-04-01
2019,5,백혈구여과제거성분채혈혈소판,SDP,751,2019-05-01
2019,6,백혈구여과제거성분채혈혈소판,SDP,775,2019-06-01
2019,7,백혈구여과제거성분채혈혈소판,SDP,776,2019-07-01
2019,8,백혈구여과제거성분채혈혈소판,SDP,765,2019-08-01
2019,9,백혈구여과제거성분채혈혈소판,SDP,786,2019-09-01
2019,10,백혈구여과제거성분채혈혈소판,SDP,764,2019-10-01
2019,11,백혈구여과제거성분채혈혈소판,SDP,799,2019-11-01
2019,12,백혈구여과제거성분채혈혈소판,SDP,805,2019-12-01
2020,1,농축적혈구,RBC,16563,2020-01-01
2020,2,농축적혈구,RBC,16680,2020-02-01
2020,3,농축적혈구,RBC,18452,2020-03-01
2020,4,농축적혈구,RBC,16800,2020-04-01
2020,5,농축적혈구,RBC,17502,2020-05-01
2020,6,농축적혈구,RBC,19950,2020-06-01
2020,7,농축적혈구,RBC,20245,2020-07-01
2020,8,농축적혈구,RBC,24505,2020-08-01
2020,9,농축적혈구,RBC,19179,2020-09-01
2020,10,농축적혈구,RBC,17041,2020-10-01
2020,11,농축적혈구,RBC,16222,2020-11-01
2020,12,농축적혈구,RBC,14804,2020-12-01
2020,1,농축혈소판,PLT,6880,2020-01-01
2020,2,농축혈소판,PLT,7593,2020-02-01
2020,3,농축혈소판,PLT,6961,2020-03-01
2020,4,농축혈소판,PLT,6318,2020-04-01
2020,5,농축혈소판,PLT,7752,2020-05-01
2020,6,농축혈소판,PLT,6572,2020-06-01
2020,7,농축혈소판,PLT,7151,2020-07-01
2020,8,농축혈소판,PLT,7591,2020-08-01
2020,9,농축혈소판,PLT,7309,2020-09-01
2020,10,농축혈소판,PLT,6570,2020-10-01
2020,11,농축혈소판,PLT,7495,2020-11-01
2020,12,농축혈소판,PLT,7290,2020-12-01
2020,1,신선동결혈장,FFP,90330,2020-01-01
2020,2,신선동결혈장,FFP,91148,2020-02-01
2020,3,신선동결혈장,FFP,84495,2020-03-01
2020,4,신선동결혈장,FFP,78920,2020-04-01
2020,5,신선동결혈장,FFP,88352,2020-05-01
2020,6,신선동결혈장,FFP,93237,2020-06-01
2020,7,신선동결혈장,FFP,90877,2020-07-01
2020,8,신선동결혈장,FFP,89391,2020-08-01
2020,9,신선동결혈장,FFP,77217,2020-09-01
2020,10,신선동결혈장,FFP,77923,2020-10-01
2020,11,신선동결혈장,FFP,81032,2020-11-01
2020,12,신선동결혈장,FFP,79654,2020-12-01
2020,1,백혈구여과제거성분채혈혈소판,SDP,932,2020-01-01
2020,2,백혈구여과제거성분채혈혈소판,SDP,1034,2020-02-01
2020,3,백혈구여과제거성분채혈혈소판,SDP,917,2020-03-01
2020,4,백혈구여과제거성분채혈혈소판,SDP,882,2020-04-01
2020,5,백혈구여과제거성분채혈혈소판,SDP,966,2020-05-01
2020,6,백혈구여과제거성분채혈혈소판,SDP,841,2020-06-01
2020,7,백혈구여과제거성분채혈혈소판,SDP,869,2020-07-01
2020,8,백혈구여과제거성분채혈혈소판,SDP,992,2020-08-01
2020,9,백혈구여과제거성분채혈혈소판,SDP,972,2020-09-01
2020,10,백혈구여과제거성분채혈혈소판,SDP,844,2020-10-01
2020,11,백혈구여과제거성분채혈혈소판,SDP,953,2020-11-01
2020,12,백혈구여과제거성분채혈혈소판,SDP,956,2020-12-01
2021,1,농축적혈구,RBC,16147,2021-01-01
2021,2,농축적혈구,RBC,15745,2021-02-01
2021,3,농축적혈구,RBC,14289,2021-03-01
2021,4,농축적혈구,RBC,13644,2021-04-01
2021,5,농축적혈구,RBC,16333,2021-05-01
2021,6,농축적혈구,RBC,16517,2021-06-01
2021,7,농축적혈구,RBC,13917,2021-07-01
2021,8,농축적혈구,RBC,13276,2021-08-01
2021,9,농축적혈구,RBC,14522,2021-09-01
2021,10,농축적혈구,RBC,14197,2021-10-01
2021,11,농축적혈구,RBC,16433,2021-11-01
2021,12,농축적혈구,RBC,24474,2021-12-01
2021,1,농축혈소판,PLT,6267,2021-01-01
2021,2,농축혈소판,PLT,6493,2021-02-01
2021,3,농축혈소판,PLT,7182,2021-03-01
2021,4,농축혈소판,PLT,6572,2021-04-01
2021,5,농축혈소판,PLT,7477,2021-05-01
2021,6,농축혈소판,PLT,6151,2021-06-01
2021,7,농축혈소판,PLT,6381,2021-07-01
2021,8,농축혈소판,PLT,6770,2021-08-01
2021,9,농축혈소판,PLT,6631,2021-09-01
2021,10,농축혈소판,PLT,6167,2021-10-01
2021,11,농축혈소판,PLT,7422,2021-11-01
2021,12,농축혈소판,PLT,7356,2021-12-01
2021,1,신선동결혈장,FFP,87978,2021-01-01
2021,2,신선동결혈장,FFP,84549,2021-02-01
2021,3,신선동결혈장,FFP,86075,2021-03-01
2021,4,신선동결혈장,FFP,85950,2021-04-01
2021,5,신선동결혈장,FFP,89866,2021-05-01
2021,6,신선동결혈장,FFP,85073,2021-06-01
2021,7,신선동결혈장,FFP,83742,2021-07-01
2021,8,신선동결혈장,FFP,88483,2021-08-01
2021,9,신선동결혈장,FFP,91495,2021-09-01
2021,10,신선동결혈장,FFP,89813,2021-10-01
2021,11,신선동결혈장,FFP,97566,2021-11-01
2021,12,신선동결혈장,FFP,102600,2021-12-01
2021,1,백혈구여과제거성분채혈혈소판,SDP,887,2021-01-01
2021,2,백혈구여과제거성분채혈혈소판,SDP,944,2021-02-01
2021,3,백혈구여과제거성분채혈혈소판,SDP,945,2021-03-01
2021,4,백혈구여과제거성분채혈혈소판,SDP,913,2021-04-01
2021,5,백혈구여과제거성분채혈혈소판,SDP,973,2021-05-01
2021,6,백혈구여과제거성분채혈혈소판,SDP,910,2021-06-01
2021,7,백혈구여과제거성분채혈혈소판,SDP,914,2021-07-01
2021,8,백혈구여과제거성분채혈혈소판,SDP,984,2021-08-01
2021,9,백혈구여과제거성분채혈혈소판,SDP,917,2021-09-01
2021,10,백혈구여과제거성분채혈혈소판,SDP,899,2021-10-01
2021,11,백혈구여과제거성분채혈혈소판,SDP,962,2021-11-01
2021,12,백혈구여과제거성분채혈혈소판,SDP,878,2021-12-01
2022,1,농축적혈구,RBC,19641,2022-01-01
2022,2,농축적혈구,RBC,14314,2022-02-01
2022,3,농축적혈구,RBC,14939,2022-03-01
2022,4,농축적혈구,RBC,16284,2022-04-01
2022,5,농축적혈구,RBC,31965,2022-05-01
2022,6,농축적혈구,RBC,40635,2022-06-01
2022,7,농축적혈구,RBC,33558,2022-07-01
2022,8,농축적혈구,RBC,22839,2022-08-01
2022,9,농축적혈구,RBC,26582,2022-09-01
2022,10,농축적혈구,RBC,21567,2022-10-01
2022,11,농축적혈구,RBC,22551,2022-11-01
2022,12,농축적혈구,RBC,23859,2022-12-01
2022,1,농축혈소판,PLT,5487,2022-01-01
2022,2,농축혈소판,PLT,6383,2022-02-01
2022,3,농축혈소판,PLT,5957,2022-03-01
2022,4,농축혈소판,PLT,7168,2022-04-01
2022,5,농축혈소판,PLT,7777,2022-05-01
2022,6,농축혈소판,PLT,6662,2022-06-01
2022,7,농축혈소판,PLT,5947,2022-07-01
2022,8,농축혈소판,PLT,5476,2022-08-01
2022,9,농축혈소판,PLT,7082,2022-09-01
2022,10,농축혈소판,PLT,6633,2022-10-01
2022,11,농축혈소판,PLT,6815,2022-11-01
2022,12,농축혈소판,PLT,7005,2022-12-01
2022,1,신선동결혈장,FFP,91955,2022-01-01
2022,2,신선동결혈장,FFP,89549,2022-02-01
2022,3,신선동결혈장,FFP,89239,2022-03-01
2022,4,신선동결혈장,FFP,87545,2022-04-01
2022,5,신선동결혈장,FFP,100985,2022-05-01
2022,6,신선동결혈장,FFP,98370,2022-06-01
2022,7,신선동결혈장,FFP,86174,2022-07-01
2022,8,신선동결혈장,FFP,81810,2022-08-01
2022,9,신선동결혈장,FFP,83112,2022-09-01
2022,10,신선동결혈장,FFP,79986,2022-10-01
2022,11,신선동결혈장,FFP,82494,2022-11-01
2022,12,신선동결혈장,FFP,86222,2022-12-01
2022,1,백혈구여과제거성분채혈혈소판,SDP,913,2022-01-01
2022,2,백혈구여과제거성분채혈혈소판,SDP,988,2022-02-01
2022,3,백혈구여과제거성분채혈혈소판,SDP,891,2022-03-01
2022,4,백혈구여과제거성분채혈혈소판,SDP,880,2022-04-01
2022,5,백혈구여과제거성분채혈혈소판,SDP,1020,2022-05-01
2022,6,백혈구여과제거성분채혈혈소판,SDP,878,2022-06-01
2022,7,백혈구여과제거성분채혈혈소판,SDP,884,2022-07-01
2022,8,백혈구여과제거성분채혈혈소판,SDP,929,2022-08-01
2022,9,백혈구여과제거성분채혈혈소판,SDP,1001,2022-09-01
2022,10,백혈구여과제거성분채혈혈소판,SDP,1010,2022-10-01
2022,11,백혈구여과제거성분채혈혈소판,SDP,994,2022-11-01
2022,12,백혈구여과제거성분채혈혈소판,SDP,953,2022-12-01
2023,1,농축적혈구,RBC,18712,2023-01-01
2023,2,농축적혈구,RBC,17655,2023-02-01
2023,3,농축적혈구,RBC,16568,2023-03-01
2023,4,농축적혈구,RBC,16513,2023-04-01
2023,5,농축적혈구,RBC,18031,2023-05-01
2023,6,농축적혈구,RBC,24438,2023-06-01
2023,7,농축적혈구,RBC,28711,2023-07-01
2023,8,농축적혈구,RBC,31568,2023-08-01
2023,9,농축적혈구,RBC,32982,2023-09-01
2023,10,농축적혈구,RBC,23631,2023-10-01
2023,11,농축적혈구,RBC,20982,2023-11-01
2023,12,농축적혈구,RBC,23840,2023-12-01
2023,1,농축혈소판,PLT,5661,2023-01-01
2023,2,농축혈소판,PLT,7286,2023-02-01
2023,3,농축혈소판,PLT,6949,2023-03-01
2023,4,농축혈소판,PLT,7091,2023-04-01
2023,5,농축혈소판,PLT,7511,2023-05-01
2023,6,농축혈소판,PLT,7094,2023-06-01
2023,7,농축혈소판,PLT,6916,2023-07-01
2023,8,농축혈소판,PLT,7043,2023-08-01
2023,9,농축혈소판,PLT,6934,2023-09-01
2023,10,농축혈소판,PLT,6538,2023-10-01
2023,11,농축혈소판,PLT,7177,2023-11-01
2023,12,농축혈소판,PLT,7519,2023-12-01
2023,1,신선동결혈장,FFP,85952,2023-01-01
2023,2,신선동결혈장,FFP,88863,2023-02-01
2023,3,신선동결혈장,FFP,91080,2023-03-01
2023,4,신선동결혈장,FFP,86156,2023-04-01
2023,5,신선동결혈장,FFP,86931,2023-05-01
2023,6,신선동결혈장,FFP,89234,2023-06-01
2023,7,신선동결혈장,FFP,83985,2023-07-01
2023,8,신선동결혈장,FFP,88072,2023-08-01
2023,9,신선동결혈장,FFP,86636,2023-09-01
2023,10,신선동결혈장,FFP,82297,2023-10-01
2023,11,신선동결혈장,FFP,86463,2023-11-01
2023,12,신선동결혈장,FFP,93304,2023-12-01
2023,1,백혈구여과제거성분채혈혈소판,SDP,1033,2023-01-01
2023,2,백혈구여과제거성분채혈혈소판,SDP,1264,2023-02-01
2023,3,백혈구여과제거성분채혈혈소판,SDP,1176,2023-03-01
2023,4,백혈구여과제거성분채혈혈소판,SDP,1153,2023-04-01
2023,5,백혈구여과제거성분채혈혈소판,SDP,1159,2023-05-01
2023,6,백혈구여과제거성분채혈혈소판,SDP,1127,2023-06-01
2023,7,백혈구여과제거성분채혈혈소판,SDP,1169,2023-07-01
2023,8,백혈구여과제거성분채혈혈소판,SDP,1152,2023-08-01
2023,9,백혈구여과제거성분채혈혈소판,SDP,1144,2023-09-01
2023,10,백혈구여과제거성분채혈혈소판,SDP,1219,2023-10-01
2023,11,백혈구여과제거성분채혈혈소판,SDP,1237,2023-11-01
2023,12,백혈구여과제거성분채혈혈소판,SDP,1256,2023-12-01
2024,1,농축적혈구,RBC,20209,2024-01-01
2024,2,농축적혈구,RBC,19180,2024-02-01
2024,3,농축적혈구,RBC,22274,2024-03-01
2024,4,농축적혈구,RBC,22430,2024-04-01
2024,5,농축적혈구,RBC,31514,2024-05-01
2024,6,농축적혈구,RBC,39767,2024-06-01
2024,7,농축적혈구,RBC,30843,2024-07-01
2024,8,농축적혈구,RBC,22963,2024-08-01
2024,9,농축적혈구,RBC,23192,2024-09-01
2024,10,농축적혈구,RBC,18670,2024-10-01
2024,11,농축적혈구,RBC,21734,2024-11-01
2024,12,농축적혈구,RBC,32611,2024-12-01
2024,1,농축혈소판,PLT,6912,2024-01-01
2024,2,농축혈소판,PLT,6765,2024-02-01
2024,3,농축혈소판,PLT,5718,2024-03-01
2024,4,농축혈소판,PLT,6071,2024-04-01
2024,5,농축혈소판,PLT,6754,2024-05-01
2024,6,농축혈소판,PLT,5988,2024-06-01
2024,7,농축혈소판,PLT,6183,2024-07-01
2024,8,농축혈소판,PLT,6240,2024-08-01
2024,9,농축혈소판,PLT,6515,2024-09-01
2024,10,농축혈소판,PLT,6494,2024-10-01
2024,11,농축혈소판,PLT,6704,2024-11-01
2024,12,농축혈소판,PLT,6864,2024-12-01
2024,1,신선동결혈장,FFP,88580,2024-01-01
2024,2,신선동결혈장,FFP,89840,2024-02-01
2024,3,신선동결혈장,FFP,102419,2024-03-01
2024,4,신선동결혈장,FFP,101592,2024-04-01
2024,5,신선동결혈장,FFP,106437,2024-05-01
2024,6,신선동결혈장,FFP,97936,2024-06-01
2024,7,신선동결혈장,FFP,83198,2024-07-01
2024,8,신선동결혈장,FFP,82323,2024-08-01
2024,9,신선동결혈장,FFP,81960,2024-09-01
2024,10,신선동결혈장,FFP,79751,2024-10-01
2024,11,신선동결혈장,FFP,84823,2024-11-01
2024,12,신선동결혈장,FFP,91556,2024-12-01
2024,1,백혈구여과제거성분채혈혈소판,SDP,1272,2024-01-01
2024,2,백혈구여과제거성분채혈혈소판,SDP,1273,2024-02-01
2024,3,백혈구여과제거성분채혈혈소판,SDP,1218,2024-03-01
2024,4,백혈구여과제거성분채혈혈소판,SDP,1222,2024-04-01
2024,5,백혈구여과제거성분채혈혈소판,SDP,1160,2024-05-01
2024,6,백혈구여과제거성분채혈혈소판,SDP,1035,2024-06-01
2024,7,백혈구여과제거성분채혈혈소판,SDP,1208,2024-07-01
2024,8,백혈구여과제거성분채혈혈소판,SDP,1136,2024-08-01
2024,9,백혈구여과제거성분채혈혈소판,SDP,1239,2024-09-01
2024,10,백혈구여과제거성분채혈혈소판,SDP,1180,2024-10-01
2024,11,백혈구여과제거성분채혈혈소판,SDP,1178,2024-11-01
