date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2022-01-06,111,79,91,14,0,8,14
2022-01-07,119,89,35,16,0,3,12
2022-01-08,69,53,16,12,0,1,6
2022-01-09,66,51,5,10,0,9,7
2022-01-10,107,73,41,26,0,20,12
2022-01-11,81,49,22,24,0,21,17
2022-01-12,92,68,24,25,0,14,12
2022-01-13,107,73,39,15,0,9,27
2022-01-14,120,85,60,19,0,14,19
2022-01-15,62,48,10,10,0,6,5
2022-01-16,66,48,5,9,0,0,10
2022-01-17,116,81,55,22,0,18,21
2022-01-18,101,60,22,26,0,17,16
2022-01-19,113,70,30,27,1,7,17
2022-01-20,100,65,25,13,0,12,16
2022-01-21,128,100,72,14,0,10,19
2022-01-22,88,69,21,12,0,5,7
2022-01-23,65,54,17,6,0,5,4
2022-01-24,140,90,117,36,0,23,26
2022-01-25,108,65,29,17,1,15,14
2022-01-26,125,96,31,29,0,10,15
2022-01-27,128,92,54,31,0,17,20
2022-01-28,123,85,104,24,0,15,25
2022-01-29,93,70,23,14,0,2,5
2022-01-30,82,65,12,8,0,2,10
2022-01-31,76,63,34,6,0,8,15
2022-02-01,0,0,1,0,0,1,0
2022-02-02,5,2,2,6,0,5,0
2022-02-03,108,72,91,34,0,28,18
2022-02-04,145,105,134,27,0,23,23
2022-02-05,72,52,16,7,0,9,10
2022-02-06,59,51,5,13,0,4,4
2022-02-07,109,70,61,30,0,41,21
2022-02-08,96,65,88,27,0,21,14
2022-02-09,152,93,69,17,0,23,7
2022-02-10,143,95,98,23,0,25,21
2022-02-11,118,75,85,22,0,15,13
2022-02-12,86,60,21,12,0,4,5
2022-02-13,71,54,8,9,0,2,4
2022-02-14,146,81,79,43,0,37,31
2022-02-15,101,66,64,10,0,14,14
2022-02-16,111,62,60,13,0,11,10
2022-02-17,96,60,46,18,0,8,19
2022-02-18,136,89,121,11,0,27,13
2022-02-19,91,57,32,11,0,5,8
2022-02-20,78,54,35,10,0,4,11
2022-02-21,170,94,147,30,1,32,30
2022-02-22,149,82,110,24,0,24,17
2022-02-23,131,78,124,15,0,20,18
2022-02-24,178,90,136,19,0,18,28
2022-02-25,163,83,178,13,0,17,14
2022-02-26,87,61,33,9,0,1,9
2022-02-27,65,49,7,7,0,1,2
2022-02-28,200,110,234,33,0,43,18
2022-03-01,66,49,17,4,0,4,7
2022-03-02,208,116,135,39,0,36,24
2022-03-03,159,81,79,18,0,27,16
2022-03-04,178,80,248,20,0,47,16
2022-03-05,121,79,84,4,0,14,14
2022-03-06,61,51,6,10,0,1,6
2022-03-07,197,99,439,23,0,88,21
2022-03-08,180,83,178,14,0,48,16
2022-03-09,76,44,13,13,0,9,8
2022-03-10,200,109,155,19,0,32,15
2022-03-11,169,88,381,16,0,64,13
2022-03-12,90,62,22,4,0,5,3
2022-03-13,67,45,8,2,0,1,6
2022-03-14,183,84,332,32,0,55,27
2022-03-15,176,73,171,17,0,32,10
2022-03-16,127,78,240,13,0,58,17
2022-03-17,210,86,592,15,0,114,18
2022-03-18,273,72,383,15,0,65,22
2022-03-19,119,78,38,19,0,11,8
2022-03-20,45,34,16,8,0,8,8
2022-03-21,202,92,436,38,0,134,21
2022-03-22,284,85,362,27,0,101,16
2022-03-23,187,104,221,14,0,28,27
2022-03-24,182,102,127,25,0,24,15
2022-03-25,167,85,131,24,0,35,14
2022-03-26,89,68,26,8,0,1,12
2022-03-27,61,46,8,7,0,3,6
2022-03-28,171,103,109,31,0,29,42
2022-03-29,188,110,86,13,0,18,19
2022-03-30,136,75,125,20,0,31,18
2022-03-31,159,100,105,13,0,23,14
2022-04-01,147,79,129,14,0,28,14
2022-04-02,113,79,22,7,0,5,18
2022-04-03,112,94,4,6,0,4,5
2022-04-04,162,102,105,28,0,40,40
2022-04-05,158,111,89,15,0,14,29
2022-04-06,134,95,79,14,0,14,17
2022-04-07,104,68,35,33,0,19,14
2022-04-08,181,128,84,12,0,25,29
2022-04-09,111,82,25,7,0,3,7
2022-04-10,82,70,11,3,0,1,10
2022-04-11,155,103,93,31,0,24,22
2022-04-12,130,91,59,13,0,11,15
2022-04-13,147,105,75,32,0,20,18
2022-04-14,136,100,46,18,0,5,20
2022-04-15,149,103,133,13,0,24,14
2022-04-16,136,99,50,11,0,19,13
2022-04-17,73,49,9,9,0,1,12
2022-04-18,173,104,132,32,0,40,28
2022-04-19,173,116,72,21,0,9,26
2022-04-20,188,115,91,21,0,26,28
2022-04-21,185,95,84,18,0,15,16
2022-04-22,156,94,87,11,0,16,14
2022-04-23,108,78,28,8,0,2,16
2022-04-24,100,71,13,10,0,2,7
2022-04-25,215,113,116,29,0,17,29
2022-04-26,175,121,123,25,1,24,19
2022-04-27,158,100,123,17,0,16,30
2022-04-28,182,92,89,11,0,7,29
2022-04-29,206,124,96,15,0,13,30
2022-04-30,145,72,40,6,0,4,30
2022-05-01,89,54,12,3,0,1,13
2022-05-02,236,115,136,29,0,19,52
2022-05-03,170,89,92,23,0,18,28
2022-05-04,183,102,76,19,0,14,28
2022-05-05,112,78,5,9,0,4,17
2022-05-06,152,77,89,24,0,22,19
2022-05-07,110,48,26,13,0,4,13
2022-05-08,80,40,10,4,0,2,6
2022-05-09,146,71,85,29,0,33,47
2022-05-10,164,104,45,16,0,13,23
2022-05-11,169,118,52,21,0,20,29
2022-05-12,155,84,70,16,0,15,23
2022-05-13,123,81,64,17,0,15,18
2022-05-14,113,86,21,8,0,5,22
2022-05-15,81,57,8,7,0,5,6
2022-05-16,161,79,57,13,0,29,37
2022-05-17,164,103,84,20,0,18,30
2022-05-18,164,90,79,18,0,4,20
2022-05-19,136,101,34,22,0,15,17
2022-05-20,166,108,63,14,0,18,29
2022-05-21,90,66,18,2,0,4,16
2022-05-22,88,50,15,7,0,0,11
2022-05-23,175,87,97,26,0,26,39
2022-05-24,143,94,23,23,0,13,28
2022-05-25,133,76,59,16,0,15,22
2022-05-26,142,95,67,20,0,12,23
2022-05-27,131,73,58,21,0,13,47
2022-05-28,92,62,30,4,0,3,23
2022-05-29,43,27,3,2,0,1,5
2022-05-30,163,78,92,18,0,24,40
2022-05-31,143,77,70,27,0,16,35
2022-06-01,27,12,0,1,0,1,10
2022-06-02,167,120,88,22,0,14,29
2022-06-03,140,87,146,25,0,18,47
2022-06-04,115,81,34,5,0,3,24
2022-06-05,66,50,6,3,0,0,7
2022-06-06,36,28,7,11,0,2,3
2022-06-07,112,57,40,22,0,25,21
2022-06-08,125,90,73,20,0,9,19
2022-06-09,139,93,67,19,0,20,27
2022-06-10,121,84,32,22,0,13,26
2022-06-11,111,93,20,7,0,1,14
2022-06-12,47,38,9,9,0,1,7
2022-06-13,120,88,40,35,0,30,30
2022-06-14,147,104,40,21,0,13,32
2022-06-15,199,114,49,34,0,22,40
2022-06-16,154,98,33,18,0,12,26
2022-06-17,157,99,73,18,0,20,28
2022-06-18,94,62,17,16,0,10,11
2022-06-19,70,58,11,3,0,1,11
2022-06-20,122,63,36,36,0,26,28
2022-06-21,126,85,57,10,0,12,21
2022-06-22,110,79,44,11,0,11,22
2022-06-23,112,89,42,10,0,8,25
2022-06-24,91,71,56,20,0,10,14
2022-06-25,86,57,38,5,0,2,11
2022-06-26,52,41,25,15,0,1,8
2022-06-27,111,68,74,26,0,22,25
2022-06-28,124,91,49,28,0,22,28
2022-06-29,85,69,40,22,0,15,25
2022-06-30,97,71,25,20,0,9,22
2022-07-01,102,68,124,18,0,17,21
2022-07-02,81,62,11,12,0,7,11
2022-07-03,67,59,5,9,0,3,8
2022-07-04,107,59,55,26,0,30,25
